UNITID,PRGMOFR,CIPCODE1,XCIPTUI1,CIPTUIT1,XCIPSUP1,CIPSUPP1,XCIPLGT1,CIPLGTH1,PRGMSR1,XMTHCMP1,MTHCMP1,XWKCMP1,WKCMP1,XLNAYHR1,LNAYHR1,XLNAYWK1,LNAYWK1,XCHG1PY0,CHG1PY0,XCHG1PY1,CHG1PY1,XCHG1PY2,CHG1PY2,XCHG1PY3,CHG1PY3,XCHG4PY0,CHG4PY0,XCHG4PY1,CHG4PY1,XCHG4PY2,CHG4PY2,XCHG4PY3,CHG4PY3,XCHG5PY0,CHG5PY0,XCHG5PY1,CHG5PY1,XCHG5PY2,CHG5PY2,XCHG5PY3,CHG5PY3,XCHG6PY0,CHG6PY0,XCHG6PY1,CHG6PY1,XCHG6PY2,CHG6PY2,XCHG6PY3,CHG6PY3,XCHG7PY0,CHG7PY0,XCHG7PY1,CHG7PY1,XCHG7PY2,CHG7PY2,XCHG7PY3,CHG7PY3,XCHG8PY0,CHG8PY0,XCHG8PY1,CHG8PY1,XCHG8PY2,CHG8PY2,XCHG8PY3,CHG8PY3,XCHG9PY0,CHG9PY0,XCHG9PY1,CHG9PY1,XCHG9PY2,CHG9PY2,XCHG9PY3,CHG9PY3,CIPCODE2,XCIPTUI2,CIPTUIT2,XCIPSUP2,CIPSUPP2,XCIPLGT2,CIPLGTH2,PRGMSR2,XMTHCMP2,MTHCMP2,CIPCODE3,XCIPTUI3,CIPTUIT3,XCIPSUP3,CIPSUPP3,XCIPLGT3,CIPLGTH3,PRGMSR3,XMTHCMP3,MTHCMP3,CIPCODE4,XCIPTUI4,CIPTUIT4,XCIPSUP4,CIPSUPP4,XCIPLGT4,CIPLGTH4,PRGMSR4,XMTHCMP4,MTHCMP4,CIPCODE5,XCIPTUI5,CIPTUIT5,XCIPSUP5,CIPSUPP5,XCIPLGT5,CIPLGTH5,PRGMSR5,XMTHCMP5,MTHCMP5,CIPCODE6,XCIPTUI6,CIPTUIT6,XCIPSUP6,CIPSUPP6,XCIPLGT6,CIPLGTH6,PRGMSR6,XMTHCMP6,MTHCMP6 
105482,1,"51.3501","A",.,"A",.,"R",720,1,"R",8,"R",30,"R",900,"R",30,"R",11150,"R",11150,"R",11175,"R",11194,"R",1315,"R",1395,"R",1405,"R",1328,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",4973,"R",4973,"R",5025,"R",6000,"R",1568,"R",1568,"R",1875,"R",1988,"R",1568,"R",1568,"R",1800,"R",1913,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
105534,16,"51.0801","A",.,"A",.,"R",800,1,"R",9,"R",36,"R",900,"R",36,"R",10150,"R",10550,"R",11070,"R",11397,"R",576,"R",590,"R",559,"R",562,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",7353,"R",8460,"R",8460,"R",10485,"R",2691,"R",2925,"R",2925,"R",4869,"R",1998,"R",2196,"R",2196,"R",2853,"51.0908","R",14850,"R",1803,"R",735,1,"R",12,"51.0911","R",15150,"R",1536,"R",750,1,"R",12,"51.0601","R",11562,"R",714,"R",720,1,"R",8,"51.3801","R",43994,"R",2724,"R",1792,1,"R",23,"51.0911","R",18111,"R",1728,"R",952,1,"R",12,
105543,12,"51.0801","A",.,"A",.,"R",800,1,"R",9,"R",36,"R",900,"R",36,"R",10150,"R",10550,"R",11070,"R",11397,"R",576,"R",590,"R",559,"R",562,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",9468,"R",9756,"R",9756,"R",9297,"R",2502,"R",2754,"R",2754,"R",3726,"R",1773,"R",2034,"R",2034,"R",1629,"51.0601","R",11294,"R",714,"R",720,1,"R",8,"51.0911","R",31373,"R",2028,"R",2872,1,"R",24,"51.3801","R",43994,"R",2724,"R",1792,1,"R",23,"51.0805","R",11510,"R",759,"R",800,1,"R",9,"51.0806","R",27853,"R",2076,"R",1586,1,"R",19,
105659,4,"15.0403","A",.,"A",.,"R",41,2,"R",10,"R",38,"R",24,"R",30,"R",17462,"R",17625,"R",18150,"R",18150,"R",1224,"R",1500,"R",1535,"R",1880,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",11609,"R",9662,"R",9662,"R",10080,"R",6251,"R",5330,"R",5330,"R",5558,"R",5387,"R",3506,"R",3506,"R",3648,"15.0503","R",27935,"R",3725,"R",63,2,"R",15,"15.0501","R",11455,"R",1240,"R",24,2,"R",6,"46.0302","R",6550,"R",1120,"R",12,2,"R",3,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
105677,1,"47.0404","A",.,"A",.,"R",880,1,"R",5,"R",20,"R",900,"R",26,"R",9950,"R",9950,"R",10450,"R",10450,"R",2145,"R",2209,"R",2275,"R",2275,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",4960,"R",5110,"R",5260,"R",5420,"R",2215,"R",2285,"R",2355,"R",2425,"R",4115,"R",4240,"R",2355,"R",2425,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
105701,3,"12.0401","A",.,"A",.,"R",1600,1,"R",13,"R",52,"R",900,"R",30,"R",9450,"R",9450,"R",9450,"R",9450,"R",1000,"R",1000,"R",1000,"R",1000,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",5408,"R",5408,"R",5408,"R",5408,"R",975,"R",975,"R",975,"R",975,"R",975,"R",975,"R",975,"R",975,"12.0410","R",4400,"A",.,"R",600,1,"R",5,"12.0413","R",4650,"A",.,"R",650,1,"R",6,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
105987,9,"46.0302","A",.,"A",.,"R",37,2,"R",9,"R",36,"R",36,"R",30,"R",13320,"R",13320,"R",13320,"R",14682,"R",1775,"R",1775,"R",1775,"R",453,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",5616,"R",5616,"R",5616,"R",5616,"R",4050,"R",4455,"R",5526,"R",4455,"R",3375,"R",4455,"R",5544,"R",4455,"51.3902","R",15002,"R",133,"R",31,2,"R",9,"51.0805","R",14879,"R",256,"R",32,2,"R",9,"51.0707","R",14589,"R",546,"R",34,2,"R",9,"51.0801","R",14787,"R",348,"R",33,2,"R",9,"52.0401","R",14590,"R",545,"R",29,2,"R",9,
106041,8,"47.0604","A",.,"A",.,"R",90,2,"R",19,"R",75,"R",30,"R",30,"R",38275,"R",39525,"R",39525,"R",40900,"R",215,"R",215,"R",215,"R",215,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",16875,"R",17456,"R",16219,"R",12900,"R",19013,"R",19688,"R",14400,"R",11438,"R",13350,"R",13181,"R",9338,"R",7069,"47.0604","R",31750,"R",215,"R",61,2,"R",12,"47.0604","R",40200,"R",215,"R",81,2,"R",16,"47.0604","R",49350,"R",215,"R",110,2,"R",19,"47.0605","R",29050,"R",215,"R",54,2,"R",11,"47.0605","R",35550,"R",215,"R",70,2,"R",14,
106111,2,"12.0401","A",.,"A",.,"R",1600,1,"R",12,"R",46,"R",900,"R",26,"R",16000,"R",16000,"R",16000,"R",16000,"R",1500,"R",1500,"R",1550,"R",1550,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",8085,"R",7820,"R",7786,"R",7889,"R",8763,"R",8809,"R",8786,"R",8545,"R",8763,"R",8809,"R",8786,"R",8545,"12.0413","R",4550,"R",300,"R",650,1,"R",5,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
106281,4,"12.0401","A",.,"A",.,"R",1500,1,"R",13,"R",52,"R",900,"R",30,"R",9750,"R",10350,"R",10350,"R",11800,"R",900,"R",1000,"R",1000,"R",1200,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",4004,"R",4004,"R",4550,"R",4004,"R",2704,"R",3250,"R",3250,"R",3250,"R",507,"R",650,"R",650,"R",650,"12.0402","R",11800,"R",1200,"R",1500,1,"R",13,"12.0410","R",6500,"R",700,"R",600,1,"R",5,"12.0413","R",7300,"R",600,"R",600,1,"R",5,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
